Book ID,Title,Author,Category,ISBN,Available Copies
101,The Alchemist,Paulo Coelho,Fiction,9780061122415,5
102,To Kill a Mockingbird,Harper Lee,Classic,9780060935467,3
103,1984,George Orwell,Dystopian,9780451524935,0
104,The Great Gatsby,F. Scott Fitzgerald,Classic,9780743273565,2
105,A Brief History of Time,Stephen Hawking,Science,9780553380163,4
106,The Catcher in the Rye,J.D. Salinger,Fiction,9780316769488,1
107,The Hobbit,J.R.R. Tolkien,Fantasy,9780547928227,6
108,"Thinking, Fast and Slow",Daniel Kahneman,Psychology,9780374533557,3
109,Clean Code,Robert C. Martin,Programming,9780132350884,2
110,The Pragmatic Programmer,Andrew Hunt,Programming,9780201616224,4
111,Sapiens: A Brief History of Humankind,Yuval Noah Harari,History,9780062316097,3
112,The Power of Habit,Charles Duhigg,Self-help,9780812981605,5
113,Rich Dad Poor Dad,Robert T. Kiyosaki,Finance,9781612680194,2
114,Atomic Habits,James Clear,Self-help,9780735211292,4
115,The Subtle Art of Not Giving a F*ck,Mark Manson,Self-help,9780062457714,3
116,Deep Work,Cal Newport,Productivity,9781455586691,4
117,Ikigai,Héctor García & Francesc Miralles,Self-help,9780143130727,2
118,Man's Search for Meaning,Viktor E. Frankl,Psychology,9780807014271,3
119,Start with Why,Simon Sinek,Motivation,9781591846444,5
120,Zero to One,Peter Thiel,Entrepreneurship,9780804139296,2
121,Pride and Prejudice,Jane Austen,Classic,9780141439518,4
122,Lord of the Rings,J.R.R. Tolkien,Fantasy,9780544003415,3
123,The Da Vinci Code,Dan Brown,Thriller,9780307474278,2
124,The Shining,Stephen King,Horror,9780307743657,1
125,Dune,Frank Herbert,Science Fiction,9780441172719,5
126,The Name of the Wind,Patrick Rothfuss,Fantasy,9780756404079,3
127,Ender's Game,Orson Scott Card,Science Fiction,9780812550702,2
128,The Road,Cormac McCarthy,Dystopian,9780307387899,1
129,The Girl with the Dragon Tattoo,Stieg Larsson,Mystery,9780307454546,4
130,The Fault in Our Stars,John Green,Young Adult,9780142424179,3
131,Harry Potter and the Sorcerer’s Stone,J.K. Rowling,Fantasy,9780590353427,6
132,The Hunger Games,Suzanne Collins,Dystopian,9780439023528,4
133,The Kite Runner,Khaled Hosseini,Fiction,9781594480003,2
134,The Book Thief,Markus Zusak,Historical Fiction,9780375842207,3
135,The Handmaid’s Tale,Margaret Atwood,Dystopian,9780385490818,2
136,The Giver,Lois Lowry,Young Adult,9780544336261,4
137,The Lion, the Witch and the Wardrobe,C.S. Lewis,Fantasy,9780064404990,5
